code,drug_name,matched_product_name_en,matched_product_name_ar,matched_store_product_id,match_score,verified,match_method
86955,MEDALGESIC 1 GM VIAL I.V. INF. 100 ML,MEDALGESIC 1 GM VIAL I.V. INF. 100 ML,ميدالجيسك محلول وريدي,2673533.0,100.0,algo_match,brand_index
79286,MEDEXAFLAM 12 SUPPOSITORIES,MEDEXAFLAM 15 MG 12 SUPP.,مديكسافلام 15 مجم 12 لبوس,2535618.0,85.7,ai_confirmed,ai_verified
75154,MEDEXAFLAM 15 MG 20 TAB,MEDEXAFLAM 15 MG 20 TABS.,مديكسافلام 15 مجم 20 اقراص,2474177.0,97.9,algo_match,brand_index
79311,medexaflam 3 ampules,,,,,,no_match
59217,MEDEXAFLAM 7.5 MG 20 TAB,MEDEXAFLAM 7.5 MG 20 TABS.,مديكسافلام 7.5 مجم 20 اقراص,2144503.0,98.0,algo_match,brand_index
91247,MEDICLAVE 457MG SUSP,,,,,,no_match
91037,medicolon tab,,,,,,no_match
81268,MEDIHYALO 30G CREAM,MEDIHYALO CREAM 30 GM,ميديهيالو كريم 30 جم,2487774.0,90.0,algo_match,brand_index
91036,MEDIOSTEO TAB,,,,,,no_match
81641,medmylezen syrup,MEDMYLEZEN SYRUP 100 ML,ميدمايلزين شراب 100 مل,2542557.0,82.1,ai_confirmed,ai_verified
79626,MEFAC 20 TAB,,,,,,no_match
73306,MEGAFEN-N SYRUP 120ML,,,,,,no_match
46584,MEGAFEN 200MG 20 TAB,MEGAFEN 20 TABS,ميجافين 20 اقراص,2603717.0,80.0,ai_confirmed,ai_verified
80323,MEGAFEN 200MG 30 TAB,MEGAFEN 30 TABS.,ميجافين 30 اقراص,905185.0,80.0,ai_confirmed,ai_verified
91974,MEGAFLOW GEL,,,,,,no_match
81315,MEGALASE 30 TAB,MEGALASE 30 F.C.TABS.,ميجاليز 30 اقراص,2437463.0,85.7,ai_confirmed,ai_verified
39973,MEGALASE SYRUP 125 ML,MEGALASE SYRUP 125 ML,ميجاليز شراب 125 مل,1612466.0,100.0,algo_match,brand_index
74099,MEGAMOX 1GM 14 TAB*2 STRIP,,,,,,no_match
74884,MEGAMOX 228MG SUSP. 70ML,MEGAMOX 228 MG SUSP. 70 ML,ميجاموكس 228 مجم شراب 70 مل,1613792.0,87.5,ai_confirmed,ai_verified
74766,MEGAMOX 457MG SUSP,,,,,,no_match
74888,MEGAMOX 625 MG 14 TAB,MEGAMOX 625 MG 14 F.C. TABS.,ميجاموكس 625 مجم 14 اقراص,2099615.0,89.4,ai_confirmed,ai_verified
83661,MEGAMOX ES 642MG SYRUP,,,,,,no_match
82905,MEGAPRAZOLE 40MG I.V VIAL,MEGAPRAZOLE 40 MG POWDER FOR I.V. INF. VIAL,ميجابرازول 40 مجم امبول وريد,2491869.0,88.9,ai_confirmed,ai_verified
27170,MEKI AH SYRUP,,,,,,no_match
85044,MELAAKNE CREAM 30 GM,,,,,,no_match
84520,MELACAINE 5% CREAM 15GM,,,,,,no_match
86512,MELACRYST 1.5 MG 20 FILMS,MELACRYST 1.5 MG 20 ORO DISPERSIBLE FILMS,ميلاكريست 1.5 مجم 20 فيلم,2471322.0,100.0,algo_match,token_set_ratio
80978,MELACRYST 3 MG 20 ORO-DISPERSIBLE FILMS,MELACRYST 3 MG 20 ORO DISPERSIBLE FILMS,ميلاكريست 3 مجم 20 فيلم,1063777.0,89.7,ai_confirmed,ai_verified
25,MELADODO 3 MG 30 TABLETS,,,,,,no_match
82588,MELANO CREAM MSSAG,MELANO ALPHA EXTRA CREAM 30 GM,ميلانو الفا اكسترا كريم 30 جم,2607162.0,80.0,ai_confirmed,ai_verified
86857,MELANOFREE LOTION 200 ML,MELANO FREE LOTION 200 ML,ميلانو فري لوشن 200 مل,2471332.0,81.6,ai_confirmed,ai_verified
61777,MELANOFREE TOPICAL CREAM 30 GM,MELANOFREE CREAM 30 GM,ميلانو فري كريم 30 جم,2144692.0,84.6,ai_confirmed,ai_verified
84957,MELANTHENOL CREAM 40GM,MELANTHENOL CREAM 40 GM,ميلانثينول كريم 40 جم,1958821.0,88.9,ai_confirmed,ai_verified
86546,MELANTHENOL GEL 40 GM,MELANTHENOL GEL 40 GM,ميلانثينول جل 40 جم,1744859.0,100.0,algo_match,brand_index
89736,MELANTHENOL LOTION 250 ML,MELANTHENOL LOTION 250 ML,ميلانثينول لوسيون 250 مل,1738340.0,100.0,algo_match,brand_index
