product_name_ar,product_name_en,store_product_id
اتاكاند 4 مجم 14 اقراص,ATACAND 4 MG 14 TAB.,901698
اتاكاند 8 مجم 14 اقراص,ATACAND 8 MG 14 TABS,901699
اتاكاند بلس 16 / 12.5 مجم 14 اقراص,ATACAND PLUS 16 / 12.5 MG 14 TABS,2332540
اتاكاند بلس 32 / 25 مجم 14 اقراص,ATACAND PLUS 32 / 25 MG 14 TABS.,901697
اتالوكس كريم 40 جم,ATALUX CREAM 40 GM,1738452
اترابكس 100 مجم 15 كبسول,ITRAPEX 100 MG 15 CAPS.,2651590
اترابكس 100 مجم 4 كبسول,ITRAPEX 100 MG 4 CAPS.,901701
اترافنجكس 100 مجم 15 كبسول,ITRAFUNGEX 100 MG 15 CAPS.,2434964
اترافنجكس 100 مجم 4 كبسول,ITRAFUNGEX 100 MG 4 CAPS.,2584376
اتراكتا ريفورس 12 امبول 5 مل,ATRAKTA RE / FORCE HAIR 12 AMPOULES 5 ML,1744208
اتراكتا ريفورس سيروم للشعر 200 مل,ATRAKTA RE / FORCE HAIR SERUM 200 ML,1765847
اتراكون 100 مجم 14 كبسول,ITRACON 100 MG 14 CAPS.,901708
اترانوكس 100 مجم 15 كبسول,ITRANOX 100 MG 15 CAPS.,2434966
اترانوكس 100 مجم 5 كبسول,ITRANOX 100 MG 5 CAPS,2635903
اتروبين سلفات 0.1 % 6 امبول ممفيس,ATROPINE SULPHATE 0.1 % 6 AMP,2312272
اتروبين سلفات 100 امبول,ATROPINE SULPHATE 1 MG / ML 100 AMP,2575718
اتروبين سلفات 6 امبول,ATROPINE SULPHATE 0.1 % 6 AMP,2682644
اتروزيمب 10 / 10 مجم 30 اقراص,ATROZEMB 10 / 10 MG 30 F.C. TAB.,2312274
اتروزيمب 10 / 20 مجم 30 اقراص,ATROZEMB 20 / 10 MG 30 F.C. TAB.,1652246
اتروزيمب 10 / 40 مجم 30 قرص,ATROZEMB 40 / 10 MG 30 F.C. TAB,2157748
اتروزيمب 10 / 80 مجم 30 اقراص,ATROZEMB 10 / 80 MG 30 TABS,2146598
اتروفنت 250 ميكرو / 2 مل 20 امبول,ATROVENT 250 MCG / 2 ML 20 UNIT DOSE VIAL,2542937
اتروفنت 500 ميكرو / 2 مل 20 امبول,ATROVENT 500 MCG / 2 ML 20 UNIT DOSE VIAL.,1689058
اتش ايرون 30 كبسول,H IRON 30 CAPS,2499724
اتش بي اي ايه بلس 20 اقراص,H PEA PLUS 20 CAPS,2315999
اتش بي جي فيت 30 كبسول,HPG VIT 30 CAPS,1874635
اتش جوينت 30 اقراص,H JOINT 30 TABS,2161369
اتش فيرين 350 20 كبسول,H FERRIN 350 20 CAPSULES,2499727
اتكوجليفلوزين 10 مجم 30 اقراص,ATCOGLIFLOZIN 10 MG 30 F.C.TABS,2128555
اتكوجليفلوزين 25 مجم 30 اقراص,ATCOGLIFLOZIN 25 MG 30 F.C.TABS,1657241
اتكوفلدوميت 50 / 1000 مجم اقراص,ATCOVILDUMET 50 / 1000 MG TAB,2143687
اتكوفومسيت 4 مجم / 2 مل 3 امبول,ATCOVOMSET 4 MG / 2 ML 3 AMPS,2199683
اتكوفومسيت 8 مجم / 4 مل 3 امبول,ATCOVOMSET 8 MG / 4 ML 3 AMPS,2299279
اتكوكوكسيب 60 مجم 30 اقراص,ETORICOXIB 60 MG 30 TABS,2199252
اتكوكوكسيب 90 مجم 30 اقراص,ETORICOXIB 90 MG 30 TABS,2146672
اتلا دي كا قطره بالفم 15 مل,ATLA DK ORAL DROPS 15 ML,2646192
اتلاباسيلس قطره بالفم 15 مل,ATLABACILLUS ORAL DROP 15 ML,2570465
اتلاتكس كريم 50 جم,ATLATEX CREAM 50 GM,2586204
اتلاكير 20 اقراص,ATLACARE 20 TABS,2595651
اتميبرازول 20 مجم 20 كبسول,ATMIPRAZOLE 20 MG 20 CAPS,2185401
اتميبرازول 40 مجم 20 كبسول,ATMIPRAZOLE 40 MG 20 CAPS.,2129103
اتنسيرا 18 مجم 30 كبسول,ATTENSERA 18 MG 30 CAPS.,2609377
اتور 10 مجم 7 اقراص,ATOR 10 MG 7 TAB.,2312276
اتور 20 مجم 10 اقراص,ATOR 20 MG 10 F.C. TAB.,1671708
اتور 40 مجم 10 اقراص,ATOR 40 MG 10 F.C. TAB.,1665501
اتور 80 مجم 10 اقراص,ATOR 80 MG 10 F.C.TABS,2345216
اتورستات 10 مجم 14 اقراص,ATORSTAT 10 MG 14 F.C.TAB,901722
اتورستات 20 مجم 14 اقراص,ATORSTAT 20 MG 14 SCORED TABS,901723
اتورستات 40 مجم 14 اقراص,ATORSTAT 40 MG 14 BISCORED TABS,2312281
اتورستات 80 مجم 10 اقراص,ATORSTAT 80 MG 10 BISCORED TABS,1063650
اتوريزا 10 / 10 مجم 28 اقراص,ATOREZA 10 / 10 MG 28 F.C. TAB.,1738474
اتوريزا 20 / 10 مجم 21 اقراص,ATOREZA 20 / 10 MG 21 F.C. TAB.,901725
اتوريزا 40 / 10 مجم 28 اقراص,ATOREZA 40 / 10 MG 28 F.C. TAB.,901728
اتوريزا 80 / 10 مجم 28 اقراص,ATOREZA 80 / 10 MG 28 F.C. TAB,1173128
اتوريكوكس هيكسال 120 مجم 10 اقراص,ETORICOX HEXAL 120 MG 10 TABS,2511422
اتوريكوكس هيكسال 60 مجم 30 اقراص,ETORICOX HEXAL 60 MG 30 F.C.TABS,1937296
اتوريكوكس هيكسال 90 مجم 30 اقراص,ETORICOX HEXAL 90 MG 30 F.C.TABS,1686517
اتوزيت 10 / 10 مجم 30 اقراص,ATOZET 10 / 10 MG 30 F.C. TAB.,2637060
اتوزيت 10 / 20 مجم 30 اقراص,ATOZET 20 / 10 MG 30 F.C. TAB.,2637228
اتوزيت 10 / 40 مجم 30 اقراص,ATOZET 40 / 10 MG 30 F.C. TAB.,2636220
اتوفليوس غسول نسائي 250 مل,ATTOVELOCE FEMININE CLEANSER 250 ML,2407624
اتوفيلوس ابو فاس مرهم,ATTOVELOCE OINT 50 GM,2682779
اتوفيلوس بانثينول جل 50 جم,ATTOVELOCE PANTHENOL GEL 50 GM,1792741
اتوفيلوس جل مزلق بديل كي واي,ATTOVELOCE PANTHENOL GEL 50 GM,2338509
اتوفيلوس كريم بلس يوريا,ATTOVELOCE DIAPER CREAM 50 MG,2314988
اتوفيلوس كلاميل لوشن 100 مل,ATTOVELOCE CALAMINE LOTION 100 ML,1792743
اتوفيلوس كلنسر,ATTOVELOCE CALAMINE LOTION 100 ML,2682780
اتوفيلوس مرهم 50 جم,ATTOVELOCE OINT 50 GM,1792744
اتوكوكسام 60 مجم 21 اقراص,ETOCOXAM 60 MG 21 TAB,2382975
اتوكوكسام 90 مجم 21 اقراص,ETOCOXAM 90 MG 21 TAB,2382983
اتومافوتكس 10 مجم 30 كبسول,ATOMAFUTIX 10 MG 30 CAPS.,2497523
اتومافوتكس 25 مجم 30 كبسول,ATOMAFUTIX 25 MG 30 CAPS.,2562794
اتومافوتكس 40 مجم 30 كبسول,ATOMAFUTIX 40 MG 30 CAPS.,2128928
اتومافيوتكس شراب 100 مل,ATOMAFUTIX ORAL SOLUTION 100 ML,2569328
اتوموريلاكس 20 مجم / 5 مل شراب 100 مل,ATOMORELAX 20 MG / 5 ML SYRUP 100 ML,942903
اتوموكس ابكس 10 مجم 30 كبسول,ATOMOXAPEX 10 MG 30 CAPS.,2128030
اتوموكس ابكس 18 مجم 30 كبسول,ATOMOXAPEX 18 MG 30 CAPS.,901733
اتوموكس ابكس 25 مجم 30 كبسول,ATOMOXAPEX 25 MG 30 CAPS.,901734
اتوموكس ابكس 4 مجم / مل شراب 100 مل,ATOMOXAPEX 4 MG / ML SYRUP 100 ML,1916956
اتوموكس ابكس 40 مجم 30 كبسول,ATOMOXAPEX 40 MG 30 CAPS.,901735
اتوموكس ابكس 60 مجم 30 كبسول,ATOMOXAPEX 60 MG 30 CAP.,2671793
اتوميتافلوزين 12.5 / 1000 مجم 30 اقراص,ATOMETAFLOZINE 12.5 MG / 1000 30 TABS,2293072
اتوميتافلوزين 12.5 / 500 مجم 30 اقراص,ATOMETAFLOZINE 12.5 / 500 MG 30 TABS,1799114
اتينو 100 مجم 20 اقراص,ATENO 100 MG 20 F.C.TAB.,2471612
اتينو 50 مجم 20 اقراص,ATENO 50 MG 20 F.C.TAB.,1533665
اتينو 50 مجم اقراص,ATENO 50 MG 20 F.C.TAB.,2681471
اتينو سي 100 / 25 مجم 20 اقراص,ATENO C 100 / 25 MG 20 TAB.,2513621
