كود,إسم الصنف,سعر البيع
88158,ANDOVIT IRON PLUS 100 ML SYRUP,130.0
87786,ANDOVIT NEURO 20 F.C. TABS,130.0
90950,ANDRACTIM GEL,2450.0
84775,ANGIFLASH SPRAY 20 ML,270.0
84321,angiofox 20m,30.0
79863,ANGIOFOX 25MG 30 CAPS,114.0
78252,ANGIOFOX 50 MG 20 TAB,132.0
64211,ANGIOSARTAN PLUS 20/12.5 MG 28 TAB,88.0
63140,ANGIOSARTAN PLUS 20/25 MG 28TAB,88.0
63135,ANGIOSARTAN PLUS 40/12.5MG 28 TAB,104.0
63141,ANGIOSARTAN PLUS 40/25 MG 28TAB,108.0
87088,ANORO ELLIPTA 62.5/25,850.0
54198,ANOXICAM 20 MG 20 TAB,39.0
86375,ANSELACOX 120MG 10TABS,120.0
79811,ANSELACOX 60MG 30TAB,222.0
79810,ANSELACOX 90MG 30TAB,315.0
83819,ANTI-COX II 15MG 10 SUPP.,25.5
79994,ANTI-COX II 15MG 30 TAB.,111.0
73905,ANTI-COX II 15MG 6 AMP,78.0
66284,ANTI COX II 7.5 MG 20 CAP,56.0
76426,ANTIDIAZOX SYRUP 60 ML,15.75
74327,ANTIFLAM 50MG 20TAB,44.0
74255,ANTIFLU 20 CAP,38.0
73269,ANTINAL 24 CAP,52.0
73215,ANTINAL SUSP 60 ML,24.0
21710,ANTIVER 6TAB,2.7
74696,ANTODINE 20 MG 3 AMP,39.0
73423,ANTODINE 20 MG 30 TAB,60.0
73141,ANTODINE 40MG 30TAB,93.0
89426,ANTODINE 6 AMPOULES * 2 ML,78.0
74246,ANTOPRAL 20 MG 14 TAB,88.0
73857,ANTOPRAL 40 MG 14 TAB,126.0
18573,ANTOX 30 TAB,120.0
73527,ANUVA 10TAB,27.0
83081,APERITIF SYRUP 120ML,99.0
27372,APETOID 20 MG 30 TAB,180.0
73460,APEXIDONE 0.5 MG 30 TAB,49.5
73762,APEXIDONE 1 MG 20 TAB,54.0
73557,APEXIDONE 2 MG 20 TAB,75.0
73683,APEXIDONE 3 MG 30 TAB,126.0
74822,APEXIDONE 4MG 30TAB,126.0
74330,APEXIDONE SYRUP 100 ML,60.0
73266,APIDONE SYRUP 125 ML,24.0
73246,APIDRA 5 CARTRIDGES,855.0
73159,APIDRA SOLOSTAR 5 PENS,952.0
8710,APIFORTYL 30 CAP,150.0
67321,APILIPEX 10MG 30TAB,90.0
67320,APILIPEX 30MG 30TAB,120.0
68712,APILIPEX 5 MG 30TAB,69.0
84268,APITIZER SYRUP,100.0
80327,APIXATRACK 2.5 MG 30 TAB,366.0
81310,APIXATRACK 5 MG 30 TAB,366.0
49838,APPE-RAISE SYRUP 120 ML,35.0
11824,APPLE LITE 30 TAB,45.0
47425,APROVEL 150 MG 14 TAB,206.0
47424,APROVEL 300 MG 14 TAB,131.0
32040,APTAMIL COMFORT MILK 400 GM,431.0
80499,APTAMIL 1 MILK 400 GM,399.0
90840,APTAMIL 2 ADVANCE PREMIUM+ MILK 400 GM,390.0
45043,APTAMIL 2 MILK 400 GM,370.0
84360,APTAMIL NUTRIPREM PDF 400GM MILK,405.0
80977,APTAMIL PROSYNEO MILK 400 GM,473.0
89149,AQUA COLLO SYRUP 120 ML,40.0
73820,AQUA PLUS 100 ML SYRUP,45.0
82701,ARBATEG 2% 100MG SYRP,35.0
84944,ARCOXIA 120 MG 7 TABS,137.0
73802,ARCOXIA 60 MG 14 TAB,224.0
73617,ARCOXIA 90 MG 14 TAB,239.0
89470,ARDOXIMAG 40 MG 14 TABS,106.0
87240,ARGENTO NIGHT CREAM 60GM,189.0
87657,ARGENTO PROFIT SUNSCREEN GEL 60ML,295.0
88163,arginine+citrulline 1000 60 tab,290.0
56829,ARICEPT 10 MG 14 TAB,470.0
27601,ARICEPT 5MG 14TAB,392.0
47929,ARIMIDEX 1 MG 28 TAB,706.0
55949,ARIPIPRAZOLE 10 MG 20 TAB,117.0
55948,ARIPIPRAZOLE 15 MG 20 TAB,117.0
86755,ARIPIPRAZOLE 1MG/ML ORAL SUSP 120 ML,46.0
74895,ARIPIPRAZOLE 20 MG 20 TAB,106.0
74405,ARIPIPRAZOLE 30 MG 20 TAB,152.0
82054,ARIPIPRAZOLE 5 MG 30 TAB,96.0
83172,ARIPIPREX 10MG 30TAB,162.0
87177,aripiprex 20mg tab,132.0
82232,ARIPIPREX 30 MG 30 TAB,318.0
48116,ARIXTRA 2.5MG/0.5ML 10 S.C. PREFILLED SYRINGES,1382.0
81586,ARMODACURE 150 MG 30 TAB,318.0
79865,ARMOWAKE 50MG 20TAB,86.0
89018,AROMALOCK 2.5 MG 30 F.C TABLETS,621.0
91931,Aromega Massage Gel,98.0
21472,ARTELAC EYE DROPS,20.0
58295,ARTH FREE 20 MG 30 TAB,261.0
55722,ARTHINEUR 10 CAP,23.0
90772,arthojo30tab,210.0
73510,ARTHROFAST 150 MG 14 TAB,120.0
90398,arthrohold 400 mg 30tab,450.0
74102,ARTICU-SAFE 30 CAP,111.0
89628,ARTISOY 30CAPS,240.0
81672,ARTIXIBAN 2.5 MG 30 TAB,426.0
81579M,ARTIXIBAN 5 MG 30 TAB,444.0
82039,ARTROHELP 60 CAP,750.0
56184,ARYTHREX 200 MG 20 CAP,94.0
78565,ASCIZADEX-N GEL 40GM,46.0
91022,ascocitrin-c 20 cap,112.0
84229,ASCORPIC ACID ORAL DROP,25.0
87335,ASENADIA 10 MG 10 TAB,168.0
92749,Ashwagandha 450 mg Veg Capsules (NOW),1600.0
91183,ASHWAGANDHA 500 MG 30 CAPSULES,180.0
81464,ASMAKAST 10 MG 30 TAB,156.0
65951,ASMAKAST 5 MG 30 TAB,120.0
83460,ASMATROPIM 500MCG/2ML 20 NEBULIZER VIAL SOLN,164.0
89235,ASMAZON SPRAY 60ML,65.0
88301,ASPIRIN-CHEMIPHARM 75 MG 30 CHEW.TABS.,12.0
82821,ASPIRIN PROTECT 100 MG 30 TAB,78.0
85755,ASPOCID 75MG 30 TAB,33.0
74649,ASPOCID INF 30TAB,35.0
77877,ASPRICARLO 81 MG 30 TAB,45.0
51770,ASPROTECT 100MG 30TAB,54.0
81897,ASTIN 10 MG 20 TAB,46.0
47762,ASTIN 20 MG 20 TAB,46.0
74078,ATACAND 16MG 14TAB,116.0
73844,ATACAND 4 MG 14 TAB,39.75
73801,ATACAND 8 MG 14 TAB,83.0
73729,ATACAND PLUS 16/12.5MG 14TAB,116.0
75063,ATACAND PLUS 32/25 MG 14 TAB,179.0
90184,ATCOCOXIB 60 MG 30 TABS,160.5
90183,ATCOCOXIB 90MG 30TAB,241.5
85453,ATCOGLIFLOZIN 10 30 TAB,180.0
84041,ATCOGLIFLOZIN 25 MG 30 F.C. TABS.,180.0
81057,ATCORELIVO 10 SACHETS,45.0
90359,ATCOVILDUMET 50MG_1000MG,159.0
1262,ATENO 100 MG 20 TAB,26.0
1311,ATENO 50 MG 20 TAB,20.0
74683,ATENORETIC 30CAP,78.0
91764,ATLA DK D3+K2 ORAL DROPS 15 ML,70.0
91884,Atobegron 50 mg xr 30 tab,498.0
79174,ATOMORELAX 100ML SYRUP,128.0
56105,ATOMOX APEX 10 MG 30 CAP,129.0
59167,ATOMOX APEX 18 MG 30 TAB,171.0
56044,ATOMOX APEX 25 MG 30 CAP,252.0
56042,ATOMOX APEX 40 MG 30 CAP,240.0
56041,ATOMOX APEX 60 MG 30 CAP,414.0
86619,ATOMOXAPEX ORL SOLUTION 40 MG 100 ML,120.0
73282,ATOR 10 MG 7 TAB,45.0
73638,ATOR 20 MG 10 TAB,79.0
73643,ATOR 40 MG 10 TAB,106.0
