code,drug_name,matched_product_name_en,matched_product_name_ar,matched_store_product_id,match_score
92557,EYE DAILY VIT 30 CAP,EYE DAILY VIT 30 CAPULES,اي ديلي فيت 30 كبسول,1726264,90.9
86382,EZACARD 100 MG 30 TABS,EZACARD 100 MG 30 E.C. TABS.,ايزاكارد 100 مجم 30 اقراص,902379,91.7
18192,EZACARD 75MG 30 TAB,,,,
46465,EZAMOL C 20TAB,,,,
87348,EZAPRIL-CO 20/12.5MG 30 TABS,,,,
88332,EZAPRIL 10 MG 30 TABLETS,EZAPRIL 10 MG 30 TAB,ايزابريل 10 مجم 30 اقراص,902378,90.9
73249,EZAPRIL 20 MG 20 TAB,EZAPRIL 20 MG 30 TAB,ايزابريل 20 مجم 30 اقراص,2312585,95.0
88259,EZAPRIL 20 MG 30 TABS,EZAPRIL 20 MG 30 TAB,ايزابريل 20 مجم 30 اقراص,2312585,97.6
58633,EZOGAST 20 MG 14 CAP,,,,
87843,ezogast 40 28 capsules,,,,
76716,EZOGAST 40 MG 14 CAP,,,,
91695,EZOKO 100/60 MG 8 F.C. TABS,,,,
82772,FAGLOZINO 10MG TAB,,,,
82820,faglozino 25mg 30 tab,,,,
73875,FAKTU 8 SUPP,,,,
73631,FAKTU OINTMENT 30 GM,,,,
90081,fam 10mg 30tab,,,,
88087,FAMICHEW 30 CHEEWABLE TAB,,,,
18856,FAMOTAK 20MG TAB,,,,
23141,FAMOTAK 40MG 20TAB,,,,
33094,FAMOTIN 40MG TAB,,,,
84748,FANGRARE SHOWER GEL 200 ML,FANGRARE SHOWER GEL 200 ML,فانج رير شاور جل 200 مل,2146906,100.0
19009,FARCOCIN CREAM 20 GM,,,,
19011,FARCOCIN OINT,,,,
7623,FARCOLIN SOLUTION,,,,
73094,FARCOLIN SYRUP 120 ML,FARCOSOLVIN SYRUP 120 ML,فاركوسولفين شراب 120 مل,2206923,93.3
16584,FARCOTILIUM SYRUP,,,,
81224,FARCOVIT B12 30 TABS,,,,
75140,FARMACTIVE SILVER SPRAY 125 ML,FARMACTIVE SILVER SPRAY 125 ML,فارماكتيف سيلفر بخاخ 125 مل,2169086,100.0
81222,FAROVIGA 100MG 12 F.C. TAB,FAROVIGA 100 MG 12 F.C.TAB.,فاروفيجا 100 مجم 12 اقراص,2313276,90.2
50396,FAST CARE D ANTIDANdruff SHAMPOO 150 ML,,,,
50394,FAST CARE P SHAMPOO 250 ML,FAST CARE P. HAIR SHAMPOO 250 ML,فاست كير بي شامبو 250 مل,2682558,91.2
81832,FAST FREEZE GEL 100 GM,FAST FREEZE GEL 100 GM,فاست فريز جل 100 جم,904216,100.0
83182,FAST FREEZE SPRAY,,,,
18942,FAST SYRUP,,,,
56686,FASTCURE 40 MG 14 CAP,FASTCURE 40 MG 14 CAPS.,فاست كيور 40 مجم 14 كبسول,2603291,97.7
47546,FASTCURE 20 MG 14 CAP,FASTCURE 20 MG 14 CAPS.,فاست كيور 20 مجم 14 كبسول,2332513,97.7
80996,FASTEL 120 MG 20 F.C TABS.,FASTEL 120 MG 20 F.C.TABS.,فاستل 120 مجم 20 اقراص,942921,100.0
80963,FASTEL 180 MG 20 TAB,,,,
77087,FASTER GEL 80GM,,,,
87044,FASTER HAIR BACK BLACK GARLIC OILEX OIL 100 ML,,,,
87505,FASTER HAIR BACK OILEX OIL CAFFEINE,,,,
77089,FASTUM GEL 15GM,,,,
74290,FASTUM GEL 60 GM,,,,
91757,FAT BOM 30 CAP,,,,
75173,FATTACHE GUIDE 30 TAB,FATTACHE GUIDE 30 TABLETS,فاتاشي جايد 30 كبسول,1277418,91.3
46839,FAVERIN 100 MG 30 TAB,,,,
1684315,FAVERIN 50MG 60 TAB,,,,
fa,FAWAR FRUIT 6 SACHETS,FAWAR FRUIT 6 SACHETS,فوار فروت 6 اكياس,1654514,100.0
78358,FAYCID HAIR OIL 60 ML,FAYCID HAIR OIL 60 ML,فايسيد زيت شعر 60 مل,2384573,100.0
63146,FEBURIC 120MG 10TAB,,,,
81451,feburic 40 mg tab,,,,
65945,FEBURIC 80MG 30TAB,,,,
74202,FELDENE 20 MG DISPERSIBLE 10 CAP,,,,
74757,FELDENE 20 MG DISPERSIBLE 10 TAB.,FELDENE 20 MG 10 DISPERSIBLE TAB,فلدين 20 مجم 10 اقراص فواره,2671660,100.0
78175,FELDENE 20MG/ML I.M. 3 AMP,,,,
74127,FELDENE 20MG/ML I.M. 6 AMP.,,,,
6773,FELDORAL AMP,,,,
80691,FEMAPENT 2.5MG 14 TABS,,,,
91463,FEMAPENT 2.5MG 30 TABS,,,,
32365656,FEMARA 2.5,,,,
41034,FEMARA 2.5 MG 30 TAB,,,,
87105,FEMI LIQUID CLEANSER,,,,
fem,FEMOGESAL 0.03/0.075MG 21 F.C.TABS,,,,
91368,femoston2/10mg 28 tap,,,,
86023,FEMTONEX FOR WOMAN 30 TABS,,,,
11253,FENISTIL DROPS,,,,
79234,FENTEX MOUTH SPRAY 60 ML,FENTEX MOUTH SPRAY 60 ML,فينتكس بخاخ للفم 60 مل,2513622,100.0
91984,FENUPOLYEN 30 CAP,FENUPOLYEN 30 CAPS,فينوبولين 30 كبسول,2476129,97.1
90781,FERLAGE 20 CAPS,FERLAGE 20 CAPS,فيرلاج 20 كبسول,2637275,100.0
89006,FERMED 100MG/5ML 5 AMP,,,,
59738,FERNILAR 20 TAB,,,,
59336,FERNILAR SYRUP,,,,
90620,feroglobi b12 liquid syrp,,,,
74187,FEROGLOBIN 30 CAP,FEROGLOBIN 30 CAPS,فيروجلوبين 30 كبسول,1627515,97.1
87820,feroglobin 30 cap مستورد,,,,
74574,FEROGLOBIN SYRUP 120 ML,,,,
91446,FEROJUST 30 CAPS,FEROJUST 30 CAP,فيروجست 30 اقراص,2433459,96.8
11737,FEROSAC 100MG/5ML 5 AMP.,,,,
79555,FERRINO 30 TABLETS,,,,
66077,FERROBELLA LIQUID CHOCOLATE 350 GM,,,,
82514,FERRODEP 150 ML SYP,FERODEP SYP 150 ML,فيروديب شراب 150 مل,2369284,97.3
81972,FERRODEP 30 CAP,FERRODEP 30 CAPS,فيروديب 30 كبسول,2409835,96.8
78139,FERRODUONAL 30-CAP,FERRODUONAL 30 CAP.,فيروديونال 30 كبسول,1911226,94.4
47691,FERROFOL CAP,,,,
82909,FERROHEALTHY 120ML SYRUP,,,,
85545,FERRONEX PLUS 20CAPS,,,,
83752,FERROPOLYN 30 CAPS,FERROPOLYN 30 CAPS,فيروبولين 30 كبسول,904435,100.0
84408,FERROSWAB ORAL SOLUTION 20 UNIT,,,,
92000,FERROTRON 30 CAP,FERROTRON 30 CAPS.,فيروترون 30 كبسول,2674442,97.0
92452,FERROTRON FORTE 30 CAPS,FERROTRON FORT 30 CAPS,فيروترون فورت 30 اقراص,2570918,97.8
85142,FERTINA BONAVIDEA 30 HARD CAPSULES,,,,
83020,FERTITONEX 30 CAP,FERTITONEX 30 CAP,فيرتيتونكس 30 كبسول,904419,100.0
84661,FETTARM DROPS,,,,
89244,FEVONOXOL 1 GM 20 TABLETS,,,,
17820,FEWMIG CAP,,,,
47270,FEXON 120MG TAB,,,,
40551,FEXON 180MG TAB,,,,
91427,FEXOSTADINE 120 MG 20 TABS,FEXOSTADINE 120 MG 20 TAB,فيكسوستادين 120 مجم 20 اقراص,2599987,98.0
